tickers
ZAMP3
YDUQ3
YBRA4
WLMM4
WLMM3
WIZC3
WHRL4
WHRL3
WEST3
WEGE3
VVEO3
VULC3
VTRU3
VSTE3
VLID3
VIVT3
VIVR3
VIVA3
VITT3
VBBR3
VAMO3
VALE3
USIM3
UNIP3
UGPA3
UCAS3
TXRX4
TXRX3
TUPY3
TTEN3
TRIS3
TRAD3
TPIS3
TOTS3
TKNO4
TKNO3
TIMS3
TGMA3
TFCO4
TEND3
TELB4
TELB3
TEKA4
TEKA3
TECN3
TCSA3
TASA4
TASA3
TAEE4
TAEE3
TAEE11
SYNE3
SUZB3
STBP3
SRNA3
SOND3
SOJA3
SNSY3
SMTO3
SMFT3
SLCE3
SIMH3
SHUL4
SHUL3
SHOW3
SGPS3
SEQL3
SEER3
SCAR3
SBSP3
SBFG3
SAPR4
SAPR3
SAPR11
SANB4
SANB3
SANB11
RSUL4
RSID3
RPMG3
RPAD3
ROMI3
RNEW4
RNEW3
RNEW11
RENT3
REDE3
RECV3
RDOR3
RDNI3
RCSL4
RCSL3
RAPT4
RAPT3
RANI3
RAIZ4
RAIL3
RADL3
QUAL3
PTNT4
PTNT3
PTBL3
PSSA3
PRNR3
PRIO3
POSI3
PORT3
POMO4
POMO3
PNVL3
PMAM3
PLPL3
PLAS3
PINE4
PINE3
PINE11
PGMN3
PGMN11
PFRM3
PETZ3
PETR4
PETR3
PEAB4
PEAB3
PDTC3
PDGR3
PCAR3
PATI4
PATI3
OSXB3
ORVR3
OPCT3
ONCO3
OIBR4
OIBR3
OFSA3
ODPV3
ODER4
NUTR3
NTCO3
NORD3
NINJ3
NGRD3
NEXP3
NEOE3
MYPK3
MWET4
MWET3
MULT3
MTSA4
MTSA3
MTRE3
MSPA4
MSPA3
MRVE3
MRFG3
MOVI3
MOAR3
MNPR3
MNDL3
MMAQ4
MMAQ3
MLAS3
MILS3
MGLU3
MGEL4
MERC4
MERC3
MELK3
MEAL3
MDNE3
MDIA3
MBLY3
MATD3
MAPT4
MAPT3
LWSA3
LVTC3
LUXM4
LUPA3
LREN3
LPSB3
LOGN3
LOGG3
LJQQ3
LIPR3
LIGT3
LEVE3
LAVV3
LAND3
KRSA3
KLBN4
KLBN3
KLBN11
KEPL3
JSLG3
JOPA4
JOPA3
JHSF3
JFEN3
JBSS3
JALL3
ITUB4
ITUB3
ITSA4
ITSA3
ISAE4
ISAE3
IRBR3
INTB3
INEP4
INEP3
IGTI4
IGTI3
IGTI11
IFCM3
HYPE3
HOOT4
HETA4
HETA3
HBSA3
HBRE3
HBOR3
HAPV3
HAGA4
HAGA3
GUAR3
GSHP3
GRND3
GPAR3
GOLL4
GOAU4
GOAU3
GMAT3
GGPS3
GGBR4
GGBR3
GFSA3
GEPA4
GEPA3
FRIO3
FRAS3
FLRY3
FIQE3
FIGE3
FIEI3
FICT3
FHER3
FESA4
FESA3
EZTC3
EVEN3
EUCA4
EUCA3
ETER3
ESTR4
ESTR3
ESPA3
EQTL3
EQPA3
EPAR3
ENMT4
ENMT3
ENJU3
ENGI4
ENGI3
ENGI11
ENEV3
EMBR3
EMAE4
EMAE3
ELMD3
ELET3
EKTR4
EKTR3
EGIE3
ECOR3
EALT4
EALT3
DXCO3
DTCY3
DOTZ3
DOHL4
DOHL3
DMVF3
DMFN3
DIRR3
DEXP4
DEXP3
DESK3
DASA3
DASA11
CYRE3
CXSE3
CVCB3
CURY3
CTSA4
CTSA3
CTNM4
CTNM3
CTKA4
CTKA3
CSUD3
CSNA3
CSMG3
CSED3
CSAN3
CRPG3
CRFB3
CPLE3
CPFE3
COGN3
COCE3
COCE11
CMIN3
CMIG4
CMIG3
CLSC4
CLSC3
CLSA3
CGRA4
CGRA3
CGAS3
CEGR3
CEED4
CEED3
CEEB3
CEDO4
CEDO3
CEBR3
CEAB3
CCRO3
CBEE3
CBAV3
CASN3
CASH3
CAML3
CAMB3
CALI3
CALI11
BSLI4
BSLI3
BRST3
BRSR3
BRKM3
BRFS3
BRAV3
BRAP4
BRAP3
BPAN4
BPAC3
BPAC11
BOBR4
BNBR3
BMOB3
BMKS3
BMIN4
BMIN3
BMGB4
BMEB4
BMEB3
BLAU3
BIOM3
BIOM11
BIED3
BHIA3
BGIP4
BGIP3
BEES4
BEES3
BEEF3
BDLL4
BDLL3
BBSE3
BBDC4
BBDC3
BBAS3
BAZA3
BAUH4
BALM4
BALM3
B3SA3
AZZA3
AZUL4
AZEV4
AZEV3
AZEV11
AVLL3
AURE3
ATMP3
ATED3
ASAI3
ARML3
ANIM3
AMOB3
AMER3
AMER11
AMBP3
AMAR3
AMAR11
ALUP4
ALUP3
ALUP11
ALPK3
ALPA4
ALPA3
ALOS3
ALLD3
AHEB3
AGXY3
AGRO3
AFLT3
AERI3
ABEV3
ABCB4
AALR3
